YELLOW FEVER,CHOLERA (recommended),VISA REQUIRED,Country / state / territory,Plug type
,,,Morocco,C / E
,,,Mozambique,C / F / M
,,,Myanmar (formerly Burma),A / C / D / G / I
,,,Namibia,D / M
,,,Nauru,I
,,,Nepal,C / D / M
,,,Netherlands,C / F
,,,New Caledonia,C / F
,,,New Zealand,I
,,,Nicaragua,A / B
,,,Niger,C / D / E / F
,,,Nigeria,D / G
,,,Niue,I
,,,Norfolk Island,I
,,,"North Cyprus (unrecognised, self-declared state)",G
,,,Northern Ireland,G
,,,North Korea,C
,,,Norway,C / F
,,,Oman,G
,,,Pakistan,C / D
,,,Palau,A / B
,,,Palestine,C / H
,,,Panama,A / B
,,,Papua New Guinea,I
,,,Paraguay,C
,,,Peru,A / C
,,,Philippines,A / B / C
,,,Pitcairn Islands,I
,,,Poland,C / E
,,,Portugal,C / F
,,,Puerto Rico,A / B
,,,Qatar,G
,,,Réunion,C / E
,,,Romania,C / F
,,,Russia (officially the Russian Federation),C / F
,,,Rwanda,C / J
,,,Saba,A / B
,,,Saint Barthélemy (informally also referred to as Saint Barth’s or Saint Barts),C / E
,,,Saint Kitts and Nevis (officially the Federation of Saint Christopher and Nevis),D / G
,,,Saint Lucia,G
,,,Saint Martin,C / E
,,,Saint Helena,G
,,,Sint Eustatius,A / B / C / F
,,,Sint Maarten,A / B
,,,Saint Vincent and the Grenadines,A / B / G
,,,Samoa,I
,,,San Marino,C / F / L
,,,São Tomé and Príncipe,C / F
,,,Saudi Arabia,G
,,,Scotland,G
,,,Senegal,C / D / E / K
,,,Serbia,C / F
,,,Seychelles,G
,,,Sierra Leone,D / G
,,,Singapore,G
,,,Slovakia,C / E
,,,Slovenia,C / F
,,,Solomon Islands,G / I
,,,Somalia,C
,,,Somaliland,C / G
,,,South Africa,C / M / N (still rare)
,,,South Korea,F
,,,South Sudan,C / D
,,,Spain,C / F
,,,Sri Lanka,D / G
,,,Sudan,C / D
,,,Suriname,A / B / C / F
,,,Swaziland,M
,,,Sweden,C / F
,,,Switzerland,C / J
,,,Syria,C / E / L
,,,Tahiti,C / E
,,,Taiwan,A / B
,,,Tajikistan,C / F
,,,Tanzania,D / G
,,,Thailand,A / B / C / O
,,,Togo,C
,,,Tokelau,I
,,,Tonga,I
,,,Trinidad & Tobago,A / B
,,,Tunisia,C / E
,,,Turkey,C / F
,,,Turkmenistan,C / F
,,,Turks and Caicos Islands,A / B
,,,Tuvalu,I
,,,Uganda,G
,,,Ukraine,C / F
,,,United Arab Emirates (UAE),G
,,,United Kingdom (UK),G
,,,United States of America (USA),A / B
,,,United States Virgin Islands,A / B
,,,Uruguay,C / F / L
,,,Uzbekistan,C / F
,,,Vanuatu,I
,,,Vatican City,C / F / L
,,,Venezuela,A / B
,,,Vietnam,A / B / C
,,,Virgin Islands (British),A / B
,,,Virgin Islands (USA),A / B
,,,Wales,G
,,,Yemen,A / D / G
,,,Zambia,C / D / G
,,,Zimbabwe,D / G
